"candidate","rep","arm","ok","nrmse","mae","bias","reserve_error","under_rate","tail_mae","tail_bias","tail_reserve_error","tail_under_rate","pmm2_share","pmm3_share","layers","nrmse_winner","reserve_winner"
"fremtpl2_severity_raw",8,"L1",TRUE,1.0025169416121,3561.91548665243,-2844.90232399829,-0.694547625904853,0.46,30275.7605923998,-30275.7605923998,-0.96207808426151,1,0,0,3,FALSE,FALSE
"fremtpl2_severity_raw",9,"PMM-auto",TRUE,1.00587942855592,2541.10725454,-329.835846823494,-0.128605023205887,0.202,13087.4431420222,-13011.3101473783,-0.854521888321865,0.952380952380952,0,0,3,FALSE,FALSE
"fremtpl2_severity_raw",9,"PMM-relaxed",TRUE,1.00587942855592,2541.10725454,-329.835846823494,-0.128605023205887,0.202,13087.4431420222,-13011.3101473783,-0.854521888321865,0.952380952380952,0,0,3,FALSE,FALSE
"fremtpl2_severity_raw",9,"PMM2-forced",TRUE,1.00587942855592,2541.10725454,-329.835846823494,-0.128605023205887,0.202,13087.4431420222,-13011.3101473783,-0.854521888321865,0.952380952380952,0,0,3,FALSE,FALSE
"fremtpl2_severity_raw",9,"LSE",TRUE,1.01106297604868,2622.8406356158,-299.345410375775,-0.116716614700019,0.215,13254.739742593,-12868.0614243814,-0.845113983361606,0.942857142857143,0,0,3,FALSE,FALSE
"fremtpl2_severity_raw",9,"ridge-LSE",TRUE,1.01106297604867,2622.84063561589,-299.345410375549,-0.11671661469993,0.215,13254.7397425922,-12868.0614243818,-0.845113983361633,0.942857142857143,0,0,3,FALSE,TRUE
"fremtpl2_severity_raw",9,"Huber",TRUE,1.00528744465876,1938.07706322557,-1406.38194971439,-0.548356963080931,0.495,14044.5568480865,-14044.5568480865,-0.922380690532454,1,0,0,3,FALSE,FALSE
"fremtpl2_severity_raw",9,"L1",TRUE,1.00519636696397,1920.44413552277,-1391.233211882,-0.542450377125412,0.497,14048.2334379742,-14048.2334379742,-0.922622151730276,1,0,0,3,TRUE,FALSE
"fremtpl2_severity_raw",10,"PMM-auto",TRUE,0.996336394070888,4360.72996819423,-882.384306508886,-0.23469031551671,0.21,25453.05307414,-24849.0807789581,-0.897716053293712,0.891089108910891,0.111111111111111,0,3,TRUE,FALSE
"fremtpl2_severity_raw",10,"PMM-relaxed",TRUE,0.997572439934082,4449.62201360913,-878.147881675875,-0.233563541305756,0.232,25359.6336019942,-24857.3348187,-0.898014244765936,0.861386138613861,0.222222222222222,0,3,FALSE,TRUE
"fremtpl2_severity_raw",10,"PMM2-forced",TRUE,0.997572439934082,4449.62201360913,-878.147881675875,-0.233563541305756,0.232,25359.6336019942,-24857.3348187,-0.898014244765936,0.861386138613861,0.222222222222222,0,3,FALSE,TRUE
"fremtpl2_severity_raw",10,"LSE",TRUE,0.999338562810063,4222.04173052196,-930.86558053026,-0.247585020706724,0.187,25108.9336426784,-24868.5596276363,-0.898419760417272,0.910891089108911,0,0,3,FALSE,FALSE
"fremtpl2_severity_raw",10,"ridge-LSE",TRUE,0.999338562810055,4222.04173052147,-930.865580530575,-0.247585020706809,0.187,25108.9336426764,-24868.559627636,-0.898419760417262,0.910891089108911,0,0,3,FALSE,FALSE
"fremtpl2_severity_raw",10,"Huber",TRUE,1.00128096833425,3114.72928187127,-2606.26456866691,-0.693195753175261,0.509,26504.3791747761,-26504.3791747761,-0.957516572924018,1,0,0,3,FALSE,FALSE
"fremtpl2_severity_raw",10,"L1",TRUE,1.00131802223506,3105.47654628652,-2581.2493671409,-0.686542387407591,0.498,26498.9889112136,-26498.9889112136,-0.957321840323058,1,0,0,3,FALSE,FALSE
