"seed","criterion","method","nrmse_test","nrmse_cal","coverage","n_test","n_in","width","max_log10_cond","pmm2_share","pmm3_share","best_layer","n_train","n_val"
75014,"ReserveTW4","Huber",5.31155469404865,3.02135784689887,0.426470588235294,5304,2262,2.53262454824553,3.4057121885355,0,0,1,9000,3000
75014,"ReserveTW4","L1",1.68551052128791,1.50980833594622,0.755279034690799,5304,4006,1.38530364758492,3.5113907483536,0,0,1,9000,3000
75015,"MSE","PMM",6.25315732032088,3.54502330171392,0.425904977375566,5304,2259,2.99569010408536,3.40468749460907,1,0,1,9000,3000
75015,"MSE","LSE",8.201174227099,4.55344238156571,0.424962292609351,5304,2254,3.58390264373639,3.15491298306028,0,0,1,9000,3000
75015,"MSE","ridge-LSE",8.20115378624495,4.55342696964306,0.424962292609351,5304,2254,3.58389634542342,3.15491371788797,0,0,1,9000,3000
75015,"MSE","Huber",5.21383698810791,3.04704962188869,0.427601809954751,5304,2268,2.47824397450725,3.41806946571682,0,0,1,9000,3000
75015,"MSE","L1",1.23692710958184,1.45672902717104,0.86368778280543,5304,4581,1.16739769860724,3.45577874337318,0,0,1,9000,3000
75015,"ReserveTW4","PMM",6.25315732032088,3.54502330171392,0.425904977375566,5304,2259,2.99569010408536,3.40468749460907,1,0,1,9000,3000
75015,"ReserveTW4","LSE",8.201174227099,4.55344238156571,0.424962292609351,5304,2254,3.58390264373639,3.15491298306028,0,0,1,9000,3000
75015,"ReserveTW4","ridge-LSE",8.20115378624495,4.55342696964306,0.424962292609351,5304,2254,3.58389634542342,3.15491371788797,0,0,1,9000,3000
75015,"ReserveTW4","Huber",5.21383698810791,3.04704962188869,0.427601809954751,5304,2268,2.47824397450725,3.41806946571682,0,0,1,9000,3000
75015,"ReserveTW4","L1",1.23692710958184,1.45672902717104,0.86368778280543,5304,4581,1.16739769860724,3.45577874337318,0,0,1,9000,3000
75016,"MSE","PMM",3.66835200685166,2.49963105760628,0.419494720965309,5304,2225,2.07337125016492,3.38601405795887,1,0,3,9000,3000
75016,"MSE","LSE",22.2839996110581,5.77223420884588,0.628770739064857,5304,3335,7.24265783629673,3.16266602463202,0,0,3,9000,3000
75016,"MSE","ridge-LSE",22.3581262167164,5.75528606573026,0.628582202111614,5304,3334,7.23732997127836,3.16266640730739,0,0,3,9000,3000
75016,"MSE","Huber",5.19731493116717,3.05615198942964,0.420814479638009,5304,2232,2.45201683932215,3.43133750090395,0,0,1,9000,3000
75016,"MSE","L1",1.413424848047,1.44753028781977,0.789404223227753,5304,4187,1.19608726959834,3.47415678583155,0,0,1,9000,3000
75016,"ReserveTW4","PMM",3.66835200685166,2.49963105760628,0.419494720965309,5304,2225,2.07337125016492,3.38601405795887,1,0,3,9000,3000
75016,"ReserveTW4","LSE",22.2839996110581,5.77223420884588,0.628770739064857,5304,3335,7.24265783629673,3.16266602463202,0,0,3,9000,3000
75016,"ReserveTW4","ridge-LSE",22.3581262167164,5.75528606573026,0.628582202111614,5304,3334,7.23732997127836,3.16266640730739,0,0,3,9000,3000
75016,"ReserveTW4","Huber",5.19731493116717,3.05615198942964,0.420814479638009,5304,2232,2.45201683932215,3.43133750090395,0,0,1,9000,3000
75016,"ReserveTW4","L1",1.413424848047,1.44753028781977,0.789404223227753,5304,4187,1.19608726959834,3.47415678583155,0,0,1,9000,3000
75017,"MSE","PMM",6.17735849069791,3.49732357050823,0.42156862745098,5304,2236,2.95404311630065,3.38493564870119,1,0,1,9000,3000
75017,"MSE","LSE",42.5146863676313,7.54208105369089,0.596719457013575,5304,3165,8.40210348549726,3.1484119554851,0,0,3,9000,3000
75017,"MSE","ridge-LSE",42.061048160882,7.51556224465993,0.596342383107089,5304,3163,8.39204387999578,3.14841221294271,0,0,3,9000,3000
75017,"MSE","Huber",5.16517456439342,2.98453963630528,0.423453996983409,5304,2246,2.4570791233577,3.32607224274305,0,0,1,9000,3000
75017,"MSE","L1",1.48617122512158,1.48226778526685,0.779411764705882,5304,4134,1.25395121728135,3.4368536495612,0,0,1,9000,3000
75017,"ReserveTW4","PMM",6.17735849069791,3.49732357050823,0.42156862745098,5304,2236,2.95404311630065,3.38493564870119,1,0,1,9000,3000
75017,"ReserveTW4","LSE",42.5146863676313,7.54208105369089,0.596719457013575,5304,3165,8.40210348549726,3.1484119554851,0,0,3,9000,3000
75017,"ReserveTW4","ridge-LSE",42.061048160882,7.51556224465993,0.596342383107089,5304,3163,8.39204387999578,3.14841221294271,0,0,3,9000,3000
75017,"ReserveTW4","Huber",5.16517456439342,2.98453963630528,0.423453996983409,5304,2246,2.4570791233577,3.32607224274305,0,0,1,9000,3000
75017,"ReserveTW4","L1",1.48617122512158,1.48226778526685,0.779411764705882,5304,4134,1.25395121728135,3.4368536495612,0,0,1,9000,3000
