"method","criterion_label","interval_type","emission_decile","n","observed_mean","predicted_mean","coverage","upper_miss_rate","mean_width"
"PMM","ReserveTW4","abs_residual_95",9,738,4.6273337398374,4.85101844592797,0.87940379403794,0.0663956639566396,3.55211491957705
"PMM","ReserveTW4","abs_residual_95",10,739,8.1443201623816,7.5806151845028,0.81190798376184,0.15426251691475,3.55211491957705
"PMM","ReserveTW4","upper_95",1,738,1.11788945799458,1.30417669001736,0.998644986449865,0.0013550135501355,NA
"PMM","ReserveTW4","upper_95",2,738,1.56605528455285,1.46218251011108,0.982384823848238,0.0176151761517615,NA
"PMM","ReserveTW4","upper_95",3,738,1.80477628726287,1.58634890942172,0.89159891598916,0.10840108401084,NA
"PMM","ReserveTW4","upper_95",4,738,2.02039891598916,1.77412774765085,0.808943089430894,0.191056910569106,NA
"PMM","ReserveTW4","upper_95",5,739,2.33196211096076,2.0389028340344,0.660351826792963,0.339648173207037,NA
"PMM","ReserveTW4","upper_95",6,738,2.74030460704607,2.35791882373488,0.533875338753388,0.466124661246612,NA
"PMM","ReserveTW4","upper_95",7,738,3.21216775067751,2.78437064426627,0.502710027100271,0.497289972899729,NA
"PMM","ReserveTW4","upper_95",8,738,3.71855785907859,3.44489575187523,0.451219512195122,0.548780487804878,NA
"PMM","ReserveTW4","upper_95",9,738,4.6273337398374,4.85101844592797,0.731707317073171,0.268292682926829,NA
"PMM","ReserveTW4","upper_95",10,739,8.1443201623816,7.5806151845028,0.653585926928281,0.346414073071719,NA
"LSE","ReserveTW4","equal_tail_95",1,738,1.11788945799458,1.34851828758402,0.997289972899729,0,3.58922889889429
"LSE","ReserveTW4","equal_tail_95",2,738,1.56605528455285,1.48249099738896,0.995934959349594,0.0013550135501355,3.58922889889429
"LSE","ReserveTW4","equal_tail_95",3,738,1.80477628726287,1.57926173919184,0.991869918699187,0.00813008130081301,3.58922889889429
"LSE","ReserveTW4","equal_tail_95",4,738,2.02039891598916,1.73658331027009,0.975609756097561,0.0230352303523035,3.58922889889429
"LSE","ReserveTW4","equal_tail_95",5,739,2.33196211096076,1.97840441535105,0.882273342354533,0.110960757780785,3.58922889889429
"LSE","ReserveTW4","equal_tail_95",6,738,2.74030460704607,2.28332401080269,0.63550135501355,0.353658536585366,3.58922889889429
"LSE","ReserveTW4","equal_tail_95",7,738,3.21216775067751,2.71788361467822,0.598915989159892,0.387533875338753,3.58922889889429
"LSE","ReserveTW4","equal_tail_95",8,738,3.71855785907859,3.43627874947627,0.540650406504065,0.44579945799458,3.58922889889429
"LSE","ReserveTW4","equal_tail_95",9,738,4.6273337398374,5.08542488282499,0.761517615176152,0.219512195121951,3.58922889889429
"LSE","ReserveTW4","equal_tail_95",10,739,8.1443201623816,8.18558080742585,0.788903924221922,0.186738836265223,3.58922889889429
"LSE","ReserveTW4","abs_residual_95",1,738,1.11788945799458,1.34851828758402,0.989159891598916,0,4.16820459013342
"LSE","ReserveTW4","abs_residual_95",2,738,1.56605528455285,1.48249099738896,0.995934959349594,0,4.16820459013342
"LSE","ReserveTW4","abs_residual_95",3,738,1.80477628726287,1.57926173919184,1,0,4.16820459013342
"LSE","ReserveTW4","abs_residual_95",4,738,2.02039891598916,1.73658331027009,0.994579945799458,0,4.16820459013342
"LSE","ReserveTW4","abs_residual_95",5,739,2.33196211096076,1.97840441535105,0.989174560216509,0,4.16820459013342
"LSE","ReserveTW4","abs_residual_95",6,738,2.74030460704607,2.28332401080269,0.98509485094851,0,4.16820459013342
"LSE","ReserveTW4","abs_residual_95",7,738,3.21216775067751,2.71788361467822,0.97289972899729,0.002710027100271,4.16820459013342
"LSE","ReserveTW4","abs_residual_95",8,738,3.71855785907859,3.43627874947627,0.949864498644986,0.00813008130081301,4.16820459013342
"LSE","ReserveTW4","abs_residual_95",9,738,4.6273337398374,5.08542488282499,0.880758807588076,0.056910569105691,4.16820459013342
"LSE","ReserveTW4","abs_residual_95",10,739,8.1443201623816,8.18558080742585,0.871447902571042,0.0771312584573748,4.16820459013342
"LSE","ReserveTW4","upper_95",1,738,1.11788945799458,1.34851828758402,0.998644986449865,0.0013550135501355,NA
"LSE","ReserveTW4","upper_95",2,738,1.56605528455285,1.48249099738896,0.982384823848238,0.0176151761517615,NA
"LSE","ReserveTW4","upper_95",3,738,1.80477628726287,1.57926173919184,0.892953929539295,0.107046070460705,NA
"LSE","ReserveTW4","upper_95",4,738,2.02039891598916,1.73658331027009,0.758807588075881,0.241192411924119,NA
"LSE","ReserveTW4","upper_95",5,739,2.33196211096076,1.97840441535105,0.535859269282815,0.464140730717185,NA
"LSE","ReserveTW4","upper_95",6,738,2.74030460704607,2.28332401080269,0.388888888888889,0.611111111111111,NA
"LSE","ReserveTW4","upper_95",7,738,3.21216775067751,2.71788361467822,0.342818428184282,0.657181571815718,NA
"LSE","ReserveTW4","upper_95",8,738,3.71855785907859,3.43627874947627,0.382113821138211,0.617886178861789,NA
"LSE","ReserveTW4","upper_95",9,738,4.6273337398374,5.08542488282499,0.739837398373984,0.260162601626016,NA
"LSE","ReserveTW4","upper_95",10,739,8.1443201623816,8.18558080742585,0.768606224627876,0.231393775372124,NA
"Huber","ReserveTW4","equal_tail_95",1,738,1.11788945799458,1.26516529828389,0.981029810298103,0,2.94328242036981
"Huber","ReserveTW4","equal_tail_95",2,738,1.56605528455285,1.42618798399972,0.990514905149051,0,2.94328242036981
"Huber","ReserveTW4","equal_tail_95",3,738,1.80477628726287,1.5562423478634,0.994579945799458,0.0040650406504065,2.94328242036981
"Huber","ReserveTW4","equal_tail_95",4,738,2.02039891598916,1.74372645758022,0.98780487804878,0.00542005420054201,2.94328242036981
"Huber","ReserveTW4","equal_tail_95",5,739,2.33196211096076,1.99132350069565,0.974289580514208,0.013531799729364,2.94328242036981
"Huber","ReserveTW4","equal_tail_95",6,738,2.74030460704607,2.30291912018758,0.936314363143631,0.048780487804878,2.94328242036981
"Huber","ReserveTW4","equal_tail_95",7,738,3.21216775067751,2.74645480307913,0.85230352303523,0.131436314363144,2.94328242036981
"Huber","ReserveTW4","equal_tail_95",8,738,3.71855785907859,3.37573208825979,0.857723577235772,0.119241192411924,2.94328242036981
"Huber","ReserveTW4","equal_tail_95",9,738,4.6273337398374,4.60366153128813,0.79810298102981,0.166666666666667,2.94328242036981
"Huber","ReserveTW4","equal_tail_95",10,739,8.1443201623816,7.47991892657694,0.690121786197564,0.265223274695535,2.94328242036981
"Huber","ReserveTW4","abs_residual_95",1,738,1.11788945799458,1.26516529828389,0.966124661246612,0,3.08132994470009
"Huber","ReserveTW4","abs_residual_95",2,738,1.56605528455285,1.42618798399972,0.990514905149051,0,3.08132994470009
"Huber","ReserveTW4","abs_residual_95",3,738,1.80477628726287,1.5562423478634,0.998644986449865,0,3.08132994470009
"Huber","ReserveTW4","abs_residual_95",4,738,2.02039891598916,1.74372645758022,0.991869918699187,0,3.08132994470009
"Huber","ReserveTW4","abs_residual_95",5,739,2.33196211096076,1.99132350069565,0.986468200270636,0.0013531799729364,3.08132994470009
"Huber","ReserveTW4","abs_residual_95",6,738,2.74030460704607,2.30291912018758,0.966124661246612,0.010840108401084,3.08132994470009
"Huber","ReserveTW4","abs_residual_95",7,738,3.21216775067751,2.74645480307913,0.951219512195122,0.0257452574525745,3.08132994470009
"Huber","ReserveTW4","abs_residual_95",8,738,3.71855785907859,3.37573208825979,0.913279132791328,0.0528455284552846,3.08132994470009
"Huber","ReserveTW4","abs_residual_95",9,738,4.6273337398374,4.60366153128813,0.853658536585366,0.0948509485094851,3.08132994470009
"Huber","ReserveTW4","abs_residual_95",10,739,8.1443201623816,7.47991892657694,0.723951285520974,0.215155615696888,3.08132994470009
"Huber","ReserveTW4","upper_95",1,738,1.11788945799458,1.26516529828389,0.998644986449865,0.0013550135501355,NA
"Huber","ReserveTW4","upper_95",2,738,1.56605528455285,1.42618798399972,0.993224932249323,0.00677506775067751,NA
"Huber","ReserveTW4","upper_95",3,738,1.80477628726287,1.5562423478634,0.964769647696477,0.035230352303523,NA
"Huber","ReserveTW4","upper_95",4,738,2.02039891598916,1.74372645758022,0.928184281842818,0.0718157181571816,NA
"Huber","ReserveTW4","upper_95",5,739,2.33196211096076,1.99132350069565,0.740189445196211,0.259810554803789,NA
"Huber","ReserveTW4","upper_95",6,738,2.74030460704607,2.30291912018758,0.584010840108401,0.415989159891599,NA
"Huber","ReserveTW4","upper_95",7,738,3.21216775067751,2.74645480307913,0.64769647696477,0.35230352303523,NA
"Huber","ReserveTW4","upper_95",8,738,3.71855785907859,3.37573208825979,0.588075880758808,0.411924119241192,NA
"Huber","ReserveTW4","upper_95",9,738,4.6273337398374,4.60366153128813,0.704607046070461,0.295392953929539,NA
"Huber","ReserveTW4","upper_95",10,739,8.1443201623816,7.47991892657694,0.653585926928281,0.346414073071719,NA
"L1","ReserveTW4","equal_tail_95",1,738,1.11788945799458,1.2992978203208,0.97289972899729,0,2.91964158078207
"L1","ReserveTW4","equal_tail_95",2,738,1.56605528455285,1.4855146943947,0.989159891598916,0.0013550135501355,2.91964158078207
"L1","ReserveTW4","equal_tail_95",3,738,1.80477628726287,1.62777702545402,0.991869918699187,0.00677506775067751,2.91964158078207
"L1","ReserveTW4","equal_tail_95",4,738,2.02039891598916,1.82572809120831,0.98509485094851,0.00813008130081301,2.91964158078207
"L1","ReserveTW4","equal_tail_95",5,739,2.33196211096076,2.08405436019696,0.972936400541272,0.0175913396481732,2.91964158078207
"L1","ReserveTW4","equal_tail_95",6,738,2.74030460704607,2.40945234326558,0.944444444444444,0.0420054200542005,2.91964158078207
"L1","ReserveTW4","equal_tail_95",7,738,3.21216775067751,2.85346486697764,0.873983739837398,0.111111111111111,2.91964158078207
"L1","ReserveTW4","equal_tail_95",8,738,3.71855785907859,3.45751311761496,0.867208672086721,0.115176151761518,2.91964158078207
"L1","ReserveTW4","equal_tail_95",9,738,4.6273337398374,4.65029460110969,0.81029810298103,0.16260162601626,2.91964158078207
"L1","ReserveTW4","equal_tail_95",10,739,8.1443201623816,7.44444344377034,0.702300405953992,0.271989174560216,2.91964158078207
"L1","ReserveTW4","abs_residual_95",1,738,1.11788945799458,1.2992978203208,0.96070460704607,0,3.11944801841366
