"rep","tail_weight","estimator","claim_decile","n","observed_sum","predicted_sum","reserve_error","observed_mean","predicted_mean"
1,1,"PMM-relaxed",10,100,2634867.47,246011.158709473,-0.906632435403109,26348.6747,2460.11158709473
1,1,"LSE",1,100,9250.61,225749.468979218,23.4037386701221,92.5061,2257.49468979218
1,1,"LSE",2,100,37846.04,245630.250759207,5.4902497265026,378.4604,2456.30250759207
1,1,"LSE",3,100,70902.81,225342.801288069,2.17819281475683,709.0281,2253.42801288069
1,1,"LSE",4,100,108532.24,211789.682305395,0.951398794546164,1085.3224,2117.89682305395
1,1,"LSE",5,100,115052.28,221250.068100199,0.923039405218216,1150.5228,2212.50068100199
1,1,"LSE",6,100,118844.61,223654.543917868,0.881907340331783,1188.4461,2236.54543917868
1,1,"LSE",7,100,122846.47,222778.141546525,0.813467994208745,1228.4647,2227.78141546525
1,1,"LSE",8,100,153642.53,255518.500792086,0.663071421644033,1536.4253,2555.18500792086
1,1,"LSE",9,100,244323.07,227540.281544483,-0.0686909691152656,2443.2307,2275.40281544483
1,1,"LSE",10,100,2634867.47,259136.981472771,-0.901650847937042,26348.6747,2591.36981472772
1,1,"Huber",1,100,9250.61,115187.555911416,11.4518875956738,92.5061,1151.87555911416
1,1,"Huber",2,100,37846.04,114756.969079048,2.03220545872299,378.4604,1147.56969079049
1,1,"Huber",3,100,70902.81,115254.847402995,0.62553285833093,709.0281,1152.54847402995
1,1,"Huber",4,100,108532.24,113023.367402685,0.0413805833426513,1085.3224,1130.23367402685
1,1,"Huber",5,100,115052.28,116110.142644605,0.00919462564849338,1150.5228,1161.10142644606
1,1,"Huber",6,100,118844.61,114360.872721061,-0.0377277293344591,1188.4461,1143.60872721061
1,1,"Huber",7,100,122846.47,115299.863976735,-0.0614311996369509,1228.4647,1152.99863976735
1,1,"Huber",8,100,153642.53,119799.64205792,-0.220270311495653,1536.4253,1197.9964205792
1,1,"Huber",9,100,244323.07,116064.476780258,-0.52495490180171,2443.2307,1160.64476780258
1,1,"Huber",10,100,2634867.47,120933.208820542,-0.954102735641371,26348.6747,1209.33208820542
1,1,"L1",1,100,9250.61,118988.292099184,11.8627508995822,92.5061,1189.88292099184
1,1,"L1",2,100,37846.04,133764.054195297,2.53442669815117,378.4604,1337.64054195297
1,1,"L1",3,100,70902.81,117335.896621409,0.654883588131546,709.0281,1173.35896621409
1,1,"L1",4,100,108532.24,117282.996992395,0.0806281800909534,1085.3224,1172.82996992395
1,1,"L1",5,100,115052.28,117250.392172872,0.01910533344382,1150.5228,1172.50392172872
1,1,"L1",6,100,118844.61,117479.341292525,-0.0114878470927319,1188.4461,1174.79341292525
1,1,"L1",7,100,122846.47,118478.395125734,-0.0355571867410235,1228.4647,1184.78395125735
1,1,"L1",8,100,153642.53,117369.11839876,-0.236089653048799,1536.4253,1173.6911839876
1,1,"L1",9,100,244323.07,117429.392591439,-0.5193683814163,2443.2307,1174.29392591439
1,1,"L1",10,100,2634867.47,117808.131757359,-0.955288782795076,26348.6747,1178.08131757359
1,2,"PMM-auto",1,100,9250.61,232040.341188686,24.0837881165335,92.5061,2320.40341188686
1,2,"PMM-auto",2,100,37846.04,227002.138547934,4.9980420289133,378.4604,2270.02138547934
1,2,"PMM-auto",3,100,70902.81,227645.140563256,2.21066457821991,709.0281,2276.45140563256
1,2,"PMM-auto",4,100,108532.24,214008.472904064,0.971842402811039,1085.3224,2140.08472904064
1,2,"PMM-auto",5,100,115052.28,228480.891799131,0.985887561716564,1150.5228,2284.80891799131
1,2,"PMM-auto",6,100,118844.61,225489.192408322,0.897344712632082,1188.4461,2254.89192408322
1,2,"PMM-auto",7,100,122846.47,225623.255188424,0.836627907895313,1228.4647,2256.23255188424
1,2,"PMM-auto",8,100,153642.53,244843.716308463,0.593593364470523,1536.4253,2448.43716308463
1,2,"PMM-auto",9,100,244323.07,232131.950441215,-0.049897537546436,2443.2307,2321.31950441214
1,2,"PMM-auto",10,100,2634867.47,260292.410934685,-0.901212332727048,26348.6747,2602.92410934685
1,2,"PMM-relaxed",1,100,9250.61,232040.341188686,24.0837881165335,92.5061,2320.40341188686
1,2,"PMM-relaxed",2,100,37846.04,227002.138547934,4.9980420289133,378.4604,2270.02138547934
1,2,"PMM-relaxed",3,100,70902.81,227645.140563256,2.21066457821991,709.0281,2276.45140563256
1,2,"PMM-relaxed",4,100,108532.24,214008.472904064,0.971842402811039,1085.3224,2140.08472904064
1,2,"PMM-relaxed",5,100,115052.28,228480.891799131,0.985887561716564,1150.5228,2284.80891799131
1,2,"PMM-relaxed",6,100,118844.61,225489.192408322,0.897344712632082,1188.4461,2254.89192408322
1,2,"PMM-relaxed",7,100,122846.47,225623.255188424,0.836627907895313,1228.4647,2256.23255188424
1,2,"PMM-relaxed",8,100,153642.53,244843.716308463,0.593593364470523,1536.4253,2448.43716308463
1,2,"PMM-relaxed",9,100,244323.07,232131.950441215,-0.049897537546436,2443.2307,2321.31950441214
1,2,"PMM-relaxed",10,100,2634867.47,260292.410934685,-0.901212332727048,26348.6747,2602.92410934685
