"rep","criterion","estimator","ok","nrmse","mae","bias","reserve_error","abs_reserve_error","under_rate","tail_mae","tail_bias","tail_reserve_error","abs_tail_reserve_error","tail_under_rate","pmm2_share","layers","nrmse_winner","reserve_winner","tail_reserve_winner"
6,"MSE","PMM-relaxed",TRUE,1.00014236228161,4236.09182189536,871.782456375205,0.28648150951887,0.28648150951887,0.093,16854.1111553535,-16787.992189964,-0.810604399966592,0.810604399966592,0.92,0.333333333333333,3,TRUE,TRUE,FALSE
6,"MSE","LSE",TRUE,1.00346723615737,4289.39645640501,920.51654718832,0.302496302887398,0.302496302887398,0.091,16880.9407172735,-16700.4255559546,-0.806376264879614,0.806376264879614,0.78,0,3,FALSE,FALSE,TRUE
6,"MSE","Huber",TRUE,1.00652681789311,2400.39674521134,-1857.91881855042,-0.610541521923859,0.610541521923859,0.511,19483.8416373759,-19483.8416373759,-0.940772879853423,0.940772879853423,1,0,3,FALSE,FALSE,FALSE
6,"MSE","L1",TRUE,1.0065976554255,2377.97464210468,-1864.07555826089,-0.612564724011802,0.612564724011802,0.503,19525.4457433535,-19525.4457433535,-0.942781724686115,0.942781724686115,1,0,3,FALSE,FALSE,FALSE
6,"Reserve","PMM-auto",TRUE,1.00014236228161,4236.09182189536,871.782456375205,0.28648150951887,0.28648150951887,0.093,16854.1111553535,-16787.992189964,-0.810604399966592,0.810604399966592,0.92,0.333333333333333,3,TRUE,TRUE,FALSE
6,"Reserve","PMM-relaxed",TRUE,1.00014236228161,4236.09182189536,871.782456375205,0.28648150951887,0.28648150951887,0.093,16854.1111553535,-16787.992189964,-0.810604399966592,0.810604399966592,0.92,0.333333333333333,3,TRUE,TRUE,FALSE
6,"Reserve","LSE",TRUE,1.00346723615737,4289.39645640501,920.51654718832,0.302496302887398,0.302496302887398,0.091,16880.9407172735,-16700.4255559546,-0.806376264879614,0.806376264879614,0.78,0,3,FALSE,FALSE,TRUE
6,"Reserve","Huber",TRUE,1.00664279184212,2403.61362251946,-1851.30261994731,-0.608367334373701,0.608367334373701,0.514,19471.438909467,-19471.438909467,-0.940174016945891,0.940174016945891,1,0,3,FALSE,FALSE,FALSE
6,"Reserve","L1",TRUE,1.0065976554255,2377.97464210468,-1864.07555826089,-0.612564724011802,0.612564724011802,0.503,19525.4457433535,-19525.4457433535,-0.942781724686115,0.942781724686115,1,0,3,FALSE,FALSE,FALSE
6,"TailReserve","PMM-auto",TRUE,1.00251460414179,4274.87398196983,949.446154994172,0.312003029770256,0.312003029770256,0.081,16932.424326098,-16305.5187425061,-0.787308278849128,0.787308278849128,0.78,0.333333333333333,3,FALSE,TRUE,TRUE
6,"TailReserve","PMM-relaxed",TRUE,1.00251460414179,4274.87398196983,949.446154994172,0.312003029770256,0.312003029770256,0.081,16932.424326098,-16305.5187425061,-0.787308278849128,0.787308278849128,0.78,0.333333333333333,3,FALSE,TRUE,TRUE
6,"TailReserve","LSE",TRUE,1.00168366182915,4418.06533874075,1038.55118547013,0.341284352707866,0.341284352707866,0.098,16973.1985690407,-16702.7155898099,-0.806486838645567,0.806486838645567,0.79,0,3,TRUE,FALSE,FALSE
6,"TailReserve","Huber",TRUE,1.00664279184212,2403.61362251946,-1851.30261994731,-0.608367334373701,0.608367334373701,0.514,19471.438909467,-19471.438909467,-0.940174016945891,0.940174016945891,1,0,3,FALSE,FALSE,FALSE
6,"TailReserve","L1",TRUE,1.0065976554255,2377.97464210468,-1864.07555826089,-0.612564724011802,0.612564724011802,0.503,19525.4457433535,-19525.4457433535,-0.942781724686115,0.942781724686115,1,0,3,FALSE,FALSE,FALSE
7,"MSE","PMM-auto",TRUE,2.28235974834029,6329.36396360592,617.059458569516,0.216606579076078,0.216606579076078,0.459,19716.1928085098,-14872.4348385762,-0.795999879221373,0.795999879221373,0.76,0,3,FALSE,FALSE,FALSE
