"target","feature_set","n_features","method","criterion_label","criterion_type","tail_weight","train_years","validation_year","test_year","n_train","n_val","n_test","layers","best_layer","selected_nodes","pmm2_share","pmm3_share","nrmse","mae","bias","under_rate","reserve_error","top10_threshold","top10_n","top10_nrmse","top10_mae","top10_bias","top10_under_rate","top10_reserve_error","top5_threshold","top5_n","top5_nrmse","top5_mae","top5_bias","top5_under_rate","top5_reserve_error"
"CO","input_lags",18,"PMM","MSE","MSE",0,"2011-2013",2014,2015,22188,7157,7383,3,1,18,1,0,0.767036947389779,1.17207653317317,-1.055418849928,0.87687931735067,-0.337259113843058,5.36448,739,1.10096841274128,2.42239201225618,-2.35081672802427,0.979702300405954,-0.28859197505978,7.07799,370,1.31484747423952,3.30691457971019,-3.256382182177,0.986486486486487,-0.319008032859301
"CO","input_lags",18,"LSE","MSE","MSE",0,"2011-2013",2014,2015,22188,7157,7383,3,3,18,0,0,1.13072445717005,1.19955165696317,-0.981857265737193,0.900853311661926,-0.31375250819661,5.36448,739,1.21354833032915,2.20563170119416,-1.79425123144178,0.924221921515562,-0.220266641998253,7.07799,370,1.46587362907691,2.9823193957798,-2.34253725874565,0.908108108108108,-0.229484182447062
"CO","input_lags",18,"PMM","ReserveTW4","reserve-aware",4,"2011-2013",2014,2015,22188,7157,7383,3,1,18,1,0,0.609653561563849,0.802627891109337,-0.473269617583859,0.705675199783286,-0.151233315423602,5.36448,739,0.954138202549768,1.51787706882645,-1.27371509613498,0.787550744248985,-0.156364360894262,7.07799,370,1.16899194948725,2.28425412220823,-2.14697600112411,0.937837837837838,-0.210326230890027
"CO","input_lags",18,"L1","ReserveTW4","reserve-aware",4,"2011-2013",2014,2015,22188,7157,7383,3,3,18,0,0,0.689453579213658,0.97914389918295,-0.756101824539835,0.826357849112827,-0.241612352609412,5.36448,739,0.986892547559773,1.59985937848688,-1.23221400372117,0.814614343707713,-0.151269585923476,7.07799,370,1.17898298106558,2.19232998561932,-1.78444332216652,0.835135135135135,-0.174811100818852
"CO","input_lags",18,"Huber","ReserveTW4","reserve-aware",4,"2011-2013",2014,2015,22188,7157,7383,3,3,18,0,0,0.705848269906879,1.02208318805341,-0.790630050356999,0.838141676825139,-0.252645847834993,5.36448,739,0.991916375220671,1.63432447504414,-1.08288404244544,0.760487144790257,-0.132937476939215,7.07799,370,1.17759859501566,2.13864451305457,-1.40712808119673,0.7,-0.13784781271084
"CO","input_lags",18,"LSE","ReserveTW4","reserve-aware",4,"2011-2013",2014,2015,22188,7157,7383,3,3,18,0,0,0.729919894641688,1.0827021652946,-0.893537522093327,0.823784369497494,-0.285529932412404,5.36448,739,0.983293899615741,1.76556081062861,-1.603298744794,0.933694181326116,-0.196824850638119,7.07799,370,1.18284466077446,2.40973134385213,-2.2451653309671,0.940540540540541,-0.219945244632464
"CO","static",9,"Huber","MSE","MSE",0,"2011-2013",2014,2015,22191,7158,7384,3,1,18,0,0,0.760824104908531,1.15845785313204,-1.05522619329398,0.905877573131094,-0.337134526707757,5.37111,739,1.08762070284852,2.36427943641199,-2.24241207543457,0.967523680649526,-0.275188665086277,7.082625,370,1.28025589829419,3.08367813462125,-2.97378252251061,0.975675675675676,-0.291294896862005
"CO","static",9,"PMM","MSE","MSE",0,"2011-2013",2014,2015,22191,7158,7384,3,1,18,1,0,0.766943511496991,1.17227722314869,-1.05561966207857,0.876895991332611,-0.337260236165417,5.37111,739,1.10156681528842,2.42376275140952,-2.35213230560737,0.979702300405954,-0.288653524647543,7.082625,370,1.31536222464487,3.31170226899964,-3.26111413166144,0.986486486486487,-0.319440274279223
"CO","static",9,"L1","MSE","MSE",0,"2011-2013",2014,2015,22191,7158,7384,3,3,18,0,0,0.819213201131417,1.09366613210502,-0.844344607416188,0.867822318526544,-0.26975990684132,5.37111,739,1.29194094775627,2.17991403989547,-1.138506439161,0.836265223274696,-0.139717436691082,7.082625,370,1.54082881426022,2.84596453256639,-1.2784949500559,0.816216216216216,-0.125234125829992
"CO","static",9,"LSE","MSE","MSE",0,"2011-2013",2014,2015,22191,7158,7384,3,3,18,0,0,1.13151523198526,1.19973454104915,-0.98284509629761,0.900866738894908,-0.31400946875001,5.37111,739,1.21739762201048,2.20865026470622,-1.80438468520692,0.925575101488498,-0.221433972044584,7.082625,370,1.47049127157852,2.98707300459592,-2.35921306112132,0.910810810810811,-0.231095152423803
