"target","feature_set","n_features","method","criterion_label","criterion_type","tail_weight","train_years","validation_year","test_year","n_train","n_val","n_test","layers","best_layer","selected_nodes","pmm2_share","pmm3_share","nrmse","mae","bias","under_rate","reserve_error","top10_threshold","top10_n","top10_nrmse","top10_mae","top10_bias","top10_under_rate","top10_reserve_error","top5_threshold","top5_n","top5_nrmse","top5_mae","top5_bias","top5_under_rate","top5_reserve_error"
"CO","arx",20,"LSE","SpikeTW4","spike-aware",4,"2011-2013",2014,2015,22185,7156,7382,3,3,18,0,0,0.643036461709416,0.759784158410619,-0.11648981759674,0.645895421295042,-0.0372297045550618,5.36365,739,0.884625140963893,1.3579497608456,-0.189909193744466,0.397834912043302,-0.0233179921660807,7.078395,370,1.06304405236548,1.6569258411259,-1.00243335263955,0.624324324324324,-0.0982023220887152
"CO","arx",20,"Huber","SpikeTW4","spike-aware",4,"2011-2013",2014,2015,22185,7156,7382,3,1,18,0,0,0.646795976613565,0.894466073709237,-0.289001075064454,0.651855865619073,-0.0923636491387664,5.36365,739,0.925267069046568,1.37227037692476,-0.0915198324317386,0.361299052774019,-0.0112372586793026,7.078395,370,1.10352111114841,1.6350473429475,-0.712921324648461,0.494594594594595,-0.069840582780585
"CO","arx",20,"L1","SpikeTW4","spike-aware",4,"2011-2013",2014,2015,22185,7156,7382,3,1,18,0,0,0.654951151188823,0.911606364722876,-0.309888317933157,0.6621511785424,-0.0990391328592705,5.36365,739,0.93109079400792,1.40854303582402,-0.0360436286724407,0.342354533152909,-0.0044256153925446,7.078395,370,1.10680840694111,1.65839335226557,-0.646720866222658,0.464864864864865,-0.0633553249590715
"CO","arx",20,"PMM","SpikeTW4","spike-aware",4,"2011-2013",2014,2015,22185,7156,7382,3,3,18,1,0,0.687955490899734,0.939956704655228,0.103388117752097,0.5033866160932,0.033042450901063,5.36365,739,0.964040128427064,1.69734233281857,0.106713899041992,0.38700947225981,0.0131028614929583,7.078395,370,1.1200298266048,1.97664269848607,-0.750687331517484,0.564864864864865,-0.0735402896596415
"CO","arx",20,"Huber","SpikeTW8","spike-aware",8,"2011-2013",2014,2015,22185,7156,7382,3,1,18,0,0,0.646795976613565,0.894466073709237,-0.289001075064454,0.651855865619073,-0.0923636491387664,5.36365,739,0.925267069046568,1.37227037692476,-0.0915198324317386,0.361299052774019,-0.0112372586793026,7.078395,370,1.10352111114841,1.6350473429475,-0.712921324648461,0.494594594594595,-0.069840582780585
"CO","arx",20,"L1","SpikeTW8","spike-aware",8,"2011-2013",2014,2015,22185,7156,7382,3,1,18,0,0,0.654951151188823,0.911606364722876,-0.309888317933157,0.6621511785424,-0.0990391328592705,5.36365,739,0.93109079400792,1.40854303582402,-0.0360436286724407,0.342354533152909,-0.0044256153925446,7.078395,370,1.10680840694111,1.65839335226557,-0.646720866222658,0.464864864864865,-0.0633553249590715
"CO","arx",20,"PMM","SpikeTW8","spike-aware",8,"2011-2013",2014,2015,22185,7156,7382,3,3,18,1,0,0.687955490899474,0.939956704654979,0.103388117751737,0.5033866160932,0.0330424509009482,5.36365,739,0.964040128427301,1.69734233281951,0.106713899043249,0.38700947225981,0.0131028614931123,7.078395,370,1.12002982660499,1.97664269848719,-0.750687331515826,0.564864864864865,-0.0735402896594796
"CO","arx",20,"LSE","SpikeTW8","spike-aware",8,"2011-2013",2014,2015,22185,7156,7382,3,3,18,0,0,1.01602189011396,1.11237856899587,0.0601709056688763,0.463830940124627,0.0192303935835552,5.36365,739,1.67800035562949,2.06955041768834,-0.929894424582202,0.469553450608931,-0.114177046830422,7.078395,370,2.07076092522192,2.91087159804508,-2.20998123399872,0.678378378378378,-0.216498471823288
"CO","static",9,"Huber","MSE","MSE",0,"2011-2013",2014,2015,22191,7158,7384,3,1,18,0,0,0.760824104908531,1.15845785313204,-1.05522619329398,0.905877573131094,-0.337134526707757,5.37111,739,1.08762070284852,2.36427943641199,-2.24241207543457,0.967523680649526,-0.275188665086277,7.082625,370,1.28025589829419,3.08367813462125,-2.97378252251061,0.975675675675676,-0.291294896862005
"CO","static",9,"PMM","MSE","MSE",0,"2011-2013",2014,2015,22191,7158,7384,3,1,18,1,0,0.766943511496991,1.17227722314869,-1.05561966207857,0.876895991332611,-0.337260236165417,5.37111,739,1.10156681528842,2.42376275140952,-2.35213230560737,0.979702300405954,-0.288653524647543,7.082625,370,1.31536222464487,3.31170226899964,-3.26111413166144,0.986486486486487,-0.319440274279223
