"rep","tail_weight","estimator","ok","nrmse","mae","bias","reserve_error","abs_reserve_error","under_rate","tail_mae","tail_bias","tail_reserve_error","abs_tail_reserve_error","tail_under_rate","pmm2_share","layers","nrmse_winner","reserve_winner","tail_reserve_winner"
3,8,"PMM-auto",TRUE,1.06359337508788,4588.85537478698,216.076316766501,0.0774851975545618,0.0774851975545618,0.373,16882.6490410827,-13990.8378246478,-0.77656427324155,0.77656427324155,0.83,0,3,FALSE,TRUE,TRUE
3,8,"PMM-relaxed",TRUE,1.06359337508788,4588.85537478698,216.076316766501,0.0774851975545618,0.0774851975545618,0.373,16882.6490410827,-13990.8378246478,-0.77656427324155,0.77656427324155,0.83,0,3,FALSE,TRUE,TRUE
3,8,"LSE",TRUE,1.06359337508788,4588.85537478698,216.076316766501,0.0774851975545618,0.0774851975545618,0.373,16882.6490410827,-13990.8378246478,-0.77656427324155,0.77656427324155,0.83,0,3,FALSE,TRUE,TRUE
3,8,"Huber",TRUE,1.00568410736722,2144.14051964491,-1639.30553391221,-0.587856712148341,0.587856712148341,0.536,16822.4308278116,-16822.4308278116,-0.933732413575782,0.933732413575782,1,0,3,TRUE,FALSE,FALSE
3,8,"L1",TRUE,1.0113702699929,2181.45233384316,-1574.19120140474,-0.564506643091831,0.564506643091831,0.503,16868.4486052283,-16868.4486052283,-0.936286639585954,0.936286639585954,1,0,3,FALSE,FALSE,FALSE
3,16,"PMM-auto",TRUE,1.06359337508788,4588.85537478698,216.076316766501,0.0774851975545618,0.0774851975545618,0.373,16882.6490410827,-13990.8378246478,-0.77656427324155,0.77656427324155,0.83,0,3,FALSE,TRUE,TRUE
3,16,"PMM-relaxed",TRUE,1.06359337508788,4588.85537478698,216.076316766501,0.0774851975545618,0.0774851975545618,0.373,16882.6490410827,-13990.8378246478,-0.77656427324155,0.77656427324155,0.83,0,3,FALSE,TRUE,TRUE
3,16,"LSE",TRUE,1.06359337508788,4588.85537478698,216.076316766501,0.0774851975545618,0.0774851975545618,0.373,16882.6490410827,-13990.8378246478,-0.77656427324155,0.77656427324155,0.83,0,3,FALSE,TRUE,TRUE
3,16,"Huber",TRUE,1.00578795923656,2147.10939029857,-1639.18906423374,-0.587814945997472,0.587814945997472,0.523,16832.8952644585,-16832.8952644585,-0.934313244240927,0.934313244240927,1,0,3,TRUE,FALSE,FALSE
3,16,"L1",TRUE,1.00626034218111,2145.59403201794,-1589.56998022288,-0.570021489571553,0.570021489571553,0.487,16857.9855975311,-16781.5848053871,-0.931465246868797,0.931465246868797,0.99,0,3,FALSE,FALSE,FALSE
