"seed","tail_weight","tail_prob","method","nrmse_test"
75013,4,0.9,"Huber",1.39921364256898
75014,4,0.9,"PMM",0.723068769832987
75014,4,0.9,"LSE",1.2530848194311
75014,4,0.9,"Huber",0.973369812513055
75015,4,0.9,"PMM",0.863051467336583
75015,4,0.9,"LSE",0.960569874377038
75015,4,0.9,"Huber",0.893113725938304
75001,4,0.95,"PMM",0.773708851865316
75001,4,0.95,"LSE",0.873117778458288
75001,4,0.95,"Huber",1.12331230102466
75002,4,0.95,"PMM",0.715604276904247
75002,4,0.95,"LSE",1.57376884089482
75002,4,0.95,"Huber",1.44731808835318
75003,4,0.95,"PMM",0.726646804686039
75003,4,0.95,"LSE",0.876091392254254
75003,4,0.95,"Huber",0.796071345430189
75004,4,0.95,"PMM",1.63960647165418
75004,4,0.95,"LSE",2.23949628850832
75004,4,0.95,"Huber",1.62650449084326
75005,4,0.95,"PMM",0.774077575930902
75005,4,0.95,"LSE",0.78454042151483
75005,4,0.95,"Huber",0.778131998901909
75006,4,0.95,"PMM",1.00634345247314
75006,4,0.95,"LSE",0.817824242687456
75006,4,0.95,"Huber",1.30761279449179
75007,4,0.95,"PMM",1.99124822613106
75007,4,0.95,"LSE",0.779971004755521
75007,4,0.95,"Huber",8.67187722643355
75008,4,0.95,"PMM",0.818533138364085
75008,4,0.95,"LSE",1.00172360305493
75008,4,0.95,"Huber",0.873674590060053
75009,4,0.95,"PMM",0.8046947978997
75009,4,0.95,"LSE",15.6866467330111
75009,4,0.95,"Huber",16.6575379079605
75010,4,0.95,"PMM",0.802045254346357
75010,4,0.95,"LSE",1.50089565184316
75010,4,0.95,"Huber",0.847389150607993
75011,4,0.95,"PMM",11.3189441997367
75011,4,0.95,"LSE",16.1053738889358
75011,4,0.95,"Huber",13.5809841511238
75012,4,0.95,"PMM",0.743689760637575
75012,4,0.95,"LSE",0.890465472846589
75012,4,0.95,"Huber",0.726631986409862
75013,4,0.95,"PMM",0.916161919141535
75013,4,0.95,"LSE",2.25656694517226
75013,4,0.95,"Huber",1.39921364256898
75014,4,0.95,"PMM",0.765920218634009
75014,4,0.95,"LSE",0.753096773415448
75014,4,0.95,"Huber",0.844678673277512
75015,4,0.95,"PMM",0.768521560821618
75015,4,0.95,"LSE",1.1691548373527
75015,4,0.95,"Huber",0.893113725938304
75001,8,0.85,"PMM",0.760996985654026
75001,8,0.85,"LSE",1.23701711073762
75001,8,0.85,"Huber",1.12331230102466
75002,8,0.85,"PMM",0.715604276904247
75002,8,0.85,"LSE",0.810392845927305
75002,8,0.85,"Huber",0.745992302814653
75003,8,0.85,"PMM",1.43339671394093
75003,8,0.85,"LSE",0.876091392254254
75003,8,0.85,"Huber",1.05689145451337
75004,8,0.85,"PMM",1.6396064716542
75004,8,0.85,"LSE",2.23949628850832
75004,8,0.85,"Huber",2.66677392018139
75005,8,0.85,"PMM",0.733957253214578
75005,8,0.85,"LSE",0.78454042151483
