"seed","gamma3","break_mag","criterion","method","nrmse_test","nrmse_cal","coverage","width","pmm2_share","pmm3_share","frac_outside_hull","maha_ratio"
75017,1.5,0.3,"ReserveTW4","PMM",0.854799846099383,0.825740338521372,0.9124,3.65882989372176,1,0,0.0016,0.980410257260464
75017,1.5,0.3,"ReserveTW4","Huber",0.889310197785046,0.843723231641292,0.9132,3.86406093977198,0,0,0.0016,0.980410257260464
75018,1.5,0.3,"ReserveTW4","LSE",0.86365728580088,0.879309348403488,0.9436,4.22262789374101,0,0,0.0028,1.03670858719717
75018,1.5,0.3,"ReserveTW4","PMM",0.852409754877195,0.873958345452621,0.9476,4.29841361167611,1,0,0.0028,1.03670858719717
75018,1.5,0.3,"ReserveTW4","Huber",0.896646509346175,0.888568278455468,0.9452,4.51637359161633,0,0,0.0028,1.03670858719717
75019,1.5,0.3,"ReserveTW4","LSE",0.843051928877138,0.874468508298303,0.9144,3.57810172960171,0,0,0.0032,0.97761820991016
75019,1.5,0.3,"ReserveTW4","PMM",0.84340462046072,0.87125250830943,0.9144,3.55729458044031,1,0,0.0032,0.97761820991016
75019,1.5,0.3,"ReserveTW4","Huber",0.876156387490673,0.875632951113694,0.914,3.81297689548542,0,0,0.0032,0.97761820991016
75020,1.5,0.3,"ReserveTW4","LSE",0.836591638132181,0.851108907496015,0.9272,3.77751630668305,0,0,0.0048,1.05097849707547
75020,1.5,0.3,"ReserveTW4","PMM",0.836121864953241,0.850081714880362,0.9248,3.74387473285459,1,0,0.0048,1.05097849707547
75020,1.5,0.3,"ReserveTW4","Huber",0.918040240626282,0.898156478996858,0.9236,4.0565749232713,0,0,0.0048,1.05097849707547
75021,1.5,0.3,"ReserveTW4","LSE",0.846780569279121,0.884149719549871,0.9108,3.62422200425673,0,0,0.0036,1.03859274475419
75021,1.5,0.3,"ReserveTW4","PMM",0.855035261026747,0.891667284352428,0.9152,3.76853460531002,1,0,0.0036,1.03859274475419
75021,1.5,0.3,"ReserveTW4","Huber",0.892145166259264,0.899249569803935,0.9184,4.09989417860566,0,0,0.0036,1.03859274475419
75022,1.5,0.3,"ReserveTW4","LSE",0.847479020631201,0.8419374274003,0.9312,4.07702508699564,0,0,0.0012,0.936669958908019
75022,1.5,0.3,"ReserveTW4","PMM",0.844792994028445,0.841000513935924,0.93,4.03963630660094,1,0,0.0012,0.936669958908019
75022,1.5,0.3,"ReserveTW4","Huber",0.878323237394819,0.846569193485704,0.93,4.3152103711768,0,0,0.0012,0.936669958908019
75023,1.5,0.3,"ReserveTW4","LSE",0.81476304679887,0.892473819783412,0.93,3.71188138965992,0,0,8e-04,1.0769608054102
75023,1.5,0.3,"ReserveTW4","PMM",0.814645341601823,0.891425377195232,0.93,3.69550625914756,1,0,8e-04,1.0769608054102
75023,1.5,0.3,"ReserveTW4","Huber",0.844059174095035,0.89032758122913,0.9292,3.90990134543361,0,0,8e-04,1.0769608054102
75024,1.5,0.3,"ReserveTW4","LSE",0.833950566982694,0.880213570938678,0.9324,3.82166064669279,0,0,0.0056,0.978966948045449
75024,1.5,0.3,"ReserveTW4","PMM",0.83695412629622,0.882070263960686,0.9384,3.958496963346,1,0,0.0056,0.978966948045449
75024,1.5,0.3,"ReserveTW4","Huber",0.86857933686306,0.895142186041834,0.9364,4.16180948306068,0,0,0.0056,0.978966948045449
